lib_mrq,lib_mod_doss,lib_mod,dscom,cod_cbr,hybride,puiss_admin_98,puiss_max,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,nox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,Carrosserie,gamme,Mp,Ct,W (mm),At1 (mm),At2 (mm),ec (cm3),typ_boite,nb_rapp,category
CITROEN,BERLINGO,BERLINGO,BERLINGO VTi (120ch) BVM,ES,non,7,88.0,9.399999619,5.800000191,7.099999905,164.0,0.537,0.028000001,,1395,1395,715/2007*195/2013EURO5,COMBISPACE,INFERIEURE,,M1,2728.0,1507.0,1556.0,1598.0,M,5,E
CITROEN,BERLINGO,BERLINGO,BERLINGO VTi (95ch) BVM,ES,non,6,72.0,9.399999619,5.5,6.900000095,159.0,0.400999993,0.030999999,,1395,1395,715/2007*195/2013EURO5,COMBISPACE,INFERIEURE,,M1,2728.0,1507.0,1556.0,1598.0,M,5,D
CITROEN,C1,C1,C1 3P 1.0i BVM,ES,non,4,50.0,5.099999905,3.799999952,4.300000191,99.0,0.419,0.006,,875,925,715/2007*630/2012EURO5,BERLINE,ECONOMIQUE,,M1,2340.0,1415.0,1405.0,998.0,M,5,A
CITROEN,C1,C1,C1 5P 1.0i BVM,ES,non,4,50.0,5.099999905,3.799999952,4.300000191,99.0,0.419,0.006,,880,930,715/2007*630/2012EURO5,BERLINE,ECONOMIQUE,,M1,2340.0,1415.0,1405.0,998.0,M,5,A
CITROEN,C3,C3,C3 HDi (90ch) BVM,GO,non,5,68.0,4.900000095,3.599999905,4.099999905,107.0,0.340000004,0.150999993,0.0,1155,1155,715/2007*195/2013EURO5,BERLINE,INFERIEURE,,M1,2451.0,1469.0,1471.0,1560.0,M,5,B
CITROEN,C3,C3,C3 HDi (90ch) BVM,GO,non,5,68.0,4.900000095,3.400000095,4.0,104.0,0.340000004,0.150999993,0.0,1155,1155,715/2007*195/2013EURO5,BERLINE,INFERIEURE,,M1,2451.0,1469.0,1471.0,1560.0,M,5,B
CITROEN,C3,C3,C3 VTi (120ch) BVA4,ES,non,7,88.0,9.300000191,4.900000095,6.5,150.0,0.335999995,0.026000001,,1210,1210,715/2007*195/2013EURO5,BERLINE,INFERIEURE,,M1,2451.0,1469.0,1471.0,1598.0,A,4,D
CITROEN,C3,C3,C3 VTi BVM5,ES,non,7,88.0,8.0,4.900000095,6.0,138.0,0.241999999,0.048999999,,1150,1150,715/2007*195/2013EURO5,BERLINE,INFERIEURE,,M1,2451.0,1469.0,1471.0,1598.0,M,5,C
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO HDi (115ch) BVM6,GO,non,6,84.0,5.5,4.0,4.599999905,119.0,0.213,0.162,0.002,1393,1393,715/2007*630/2012EURO5,MINISPACE,INFERIEURE,na,M1,2540.0,1472.0,1468.0,1560.0,M,6,B
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO HDi (115ch) BVM6,GO,non,6,84.0,5.5,4.0,4.599999905,119.0,0.213,0.162,0.002,1393,1393,715/2007*630/2012EURO5,MINISPACE,INFERIEURE,,M1,2540.0,1472.0,1468.0,1560.0,M,6,B
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO HDi (115ch) BVM6,GO,non,6,84.0,5.5,4.0,4.599999905,119.0,0.213,0.162,0.002,1393,1393,715/2007*630/2012EURO5,MINISPACE,INFERIEURE,,M1,2540.0,1472.0,1469.0,1560.0,M,6,B
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO Hdi (90ch) BVM,GO,non,5,68.0,4.699999809,3.700000048,4.099999905,107.0,0.356999993,0.167999998,0.001,1280,1280,715/2007*630/2012EURO5,MINISPACE,INFERIEURE,,M1,2540.0,1472.0,1468.0,1560.0,M,5,B
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO Hdi (90ch) BVM,GO,non,5,68.0,4.699999809,3.700000048,4.099999905,107.0,0.356999993,0.167999998,0.001,1280,1280,715/2007*630/2012EURO5,MINISPACE,INFERIEURE,na,M1,2540.0,1472.0,1468.0,1560.0,M,5,B
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO Hdi (90ch) BVM,GO,non,5,68.0,4.699999809,3.700000048,4.099999905,107.0,0.356999993,0.167999998,0.001,1280,1280,715/2007*630/2012EURO5,MINISPACE,INFERIEURE,,M1,2540.0,1472.0,1467.0,1560.0,M,5,B
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO Hdi (90ch) BVM,GO,non,5,68.0,4.699999809,3.599999905,4.0,105.0,0.356999993,0.167999998,0.001,1280,1280,715/2007*630/2012EURO5,MINISPACE,INFERIEURE,,M1,2540.0,1472.0,1468.0,1560.0,M,5,B
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO Hdi (90ch) BVM,GO,non,5,68.0,4.699999809,3.599999905,4.0,105.0,0.356999993,0.167999998,0.001,1280,1280,715/2007*630/2012EURO5,MINISPACE,INFERIEURE,na,M1,2540.0,1472.0,1468.0,1560.0,M,5,B
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO VTI (120ch) BMP6,ES,non,7,88.0,8.0,4.800000191,6.0,137.0,0.575999975,0.015,,1280,1280,715/2007*195/2013EURO5,MINISPACE,INFERIEURE,na,M1,2540.0,1472.0,1468.0,1598.0,M,6,C
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO VTI (120ch) BMP6,ES,non,7,88.0,8.0,4.800000191,6.0,137.0,0.575999975,0.015,,1280,1280,715/2007*195/2013EURO5,MINISPACE,INFERIEURE,,M1,2540.0,1472.0,1468.0,1598.0,M,6,C
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO VTI (120ch) BMP6,ES,non,6,88.0,7.400000095,4.599999905,5.699999809,132.0,0.575999975,0.015,,1280,1280,715/2007*195/2013EURO5,MINISPACE,INFERIEURE,,M1,2540.0,1472.0,1468.0,1598.0,M,6,C
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO VTI (120ch) BVM,ES,non,7,88.0,8.600000381,5.0,6.300000191,145.0,0.305999994,0.017000001,,1279,1279,715/2007*195/2013EURO5,MINISPACE,INFERIEURE,,M1,2540.0,1472.0,1468.0,1598.0,M,5,D
CITROEN,C3 PICASSO,C3 PICASSO,C3 PICASSO VTI (120ch) BVM,ES,non,7,88.0,8.600000381,5.0,6.300000191,145.0,0.305999994,0.017000001,,1279,1279,715/2007*195/2013EURO5,MINISPACE,INFERIEURE,na,M1,2540.0,1472.0,1468.0,1598.0,M,5,D
